brand,year,mileage,horsepower,engine_size,fuel_type,transmission,owner_count,price
Hyundai,2020,89641,290,2.9,Diesel,Manual,2,1283339
Honda,2017,33679,234,1.9,Diesel,Manual,1,1074649
Toyota,2023,17275,92,3.0,Electric,Manual,4,1231464
Tata,2017,117650,156,2.7,Electric,Automatic,3,818788
Tata,2016,99996,208,2.1,Electric,Automatic,4,806782
BMW,2021,78549,139,1.3,Petrol,Manual,2,1207860
Mercedes,2017,43897,168,1.8,Electric,Manual,2,1114234
Ford,2017,39140,270,3.0,Electric,Automatic,2,1157739
BMW,2020,115456,283,2.4,Petrol,Automatic,3,1449683
BMW,2015,38137,122,1.4,Electric,Automatic,3,867832
Hyundai,2021,78165,102,2.6,Diesel,Manual,3,970611
Hyundai,2024,115271,120,2.3,Electric,Manual,4,1062055
Hyundai,2024,15362,140,2.3,Petrol,Manual,3,1168243
Mercedes,2016,69969,81,2.0,Diesel,Automatic,3,905241
Hyundai,2022,64536,198,2.3,Petrol,Automatic,4,1093545
Toyota,2022,15086,197,1.9,Diesel,Automatic,4,1281504
Tata,2018,89896,295,2.7,Diesel,Manual,4,1047137
Ford,2018,23125,310,3.1,Petrol,Automatic,2,1237100
Toyota,2022,25239,212,3.1,Diesel,Automatic,3,1377091
BMW,2021,118462,81,3.1,Electric,Manual,1,1298053
Hyundai,2021,19115,109,2.3,Petrol,Automatic,3,1042912
Toyota,2022,99920,183,2.0,Petrol,Manual,2,1198846
BMW,2024,89895,267,1.2,Diesel,Automatic,1,1613755
Hyundai,2022,101243,90,3.2,Petrol,Manual,3,1019951
Mercedes,2015,83283,295,1.1,Petrol,Manual,2,1143025
Honda,2023,27793,83,2.4,Electric,Automatic,1,1233898
Honda,2015,99297,225,2.8,Electric,Manual,2,966948
Tata,2021,97110,312,2.7,Electric,Automatic,3,1264673
BMW,2015,57462,128,1.3,Electric,Automatic,3,859019
Tata,2015,102880,187,2.6,Petrol,Manual,1,778726
Toyota,2022,65093,315,2.3,Diesel,Manual,1,1474982
Mercedes,2017,106676,190,1.4,Electric,Manual,1,1090337
Ford,2024,73075,190,2.7,Petrol,Automatic,4,1270211
Mercedes,2017,113792,209,2.3,Petrol,Automatic,3,1163482
BMW,2024,23161,115,2.1,Electric,Manual,4,1483231
BMW,2024,20420,307,1.7,Petrol,Automatic,2,1784420
Ford,2021,116718,178,1.9,Electric,Manual,4,987260
Mercedes,2024,9146,151,2.0,Diesel,Manual,1,1576811
Ford,2020,72817,248,2.4,Diesel,Automatic,3,1147428
Ford,2018,68151,127,2.4,Diesel,Automatic,2,911857
Tata,2022,69206,292,3.0,Electric,Automatic,3,1268985
BMW,2017,41161,204,2.1,Electric,Manual,1,1228584
Hyundai,2023,99516,93,1.6,Diesel,Manual,2,1009084
Honda,2015,90409,296,2.8,Petrol,Automatic,4,1104956
Mercedes,2016,32533,224,1.3,Diesel,Manual,3,1187758
Hyundai,2019,93792,181,2.5,Petrol,Manual,3,956481
Hyundai,2021,43367,82,1.5,Electric,Automatic,2,910286
Honda,2019,101174,300,2.2,Electric,Manual,4,1265858
Mercedes,2016,62833,187,1.9,Petrol,Manual,4,1059601
Tata,2019,58972,300,1.4,Petrol,Manual,4,1047049
Mercedes,2017,27144,150,2.1,Electric,Automatic,3,1126263
BMW,2017,33021,281,2.4,Electric,Automatic,3,1353124
Tata,2022,75590,93,1.8,Electric,Automatic,4,935751
Ford,2018,60495,207,2.9,Electric,Manual,3,1029822
Ford,2020,18819,284,1.7,Diesel,Manual,4,1153828
BMW,2015,50833,319,2.4,Electric,Manual,1,1335648
Ford,2016,34804,85,3.0,Electric,Manual,2,772871
Ford,2020,5841,179,2.5,Petrol,Automatic,3,1071165
Tata,2021,106087,194,2.7,Diesel,Automatic,3,1033209
Tata,2021,94930,190,1.3,Electric,Automatic,3,950735
Mercedes,2020,115575,236,3.1,Petrol,Automatic,1,1552891
Ford,2024,91248,232,1.3,Diesel,Manual,1,1242461
Hyundai,2019,105625,316,2.0,Petrol,Automatic,1,1135507
Ford,2021,14754,133,2.8,Diesel,Manual,4,1103685
Honda,2015,11331,169,1.1,Diesel,Manual,4,775019
Mercedes,2021,93977,81,2.6,Electric,Manual,4,1214230
Hyundai,2017,16718,229,2.9,Diesel,Manual,4,999255
BMW,2020,8404,262,3.0,Diesel,Automatic,3,1544892
Ford,2023,65282,163,2.9,Electric,Manual,3,1200899
Mercedes,2016,36604,211,1.4,Electric,Automatic,1,1177257
BMW,2022,53862,273,3.2,Diesel,Manual,4,1646574
Ford,2016,71110,124,2.5,Electric,Automatic,3,805066
BMW,2024,30241,199,1.3,Petrol,Manual,1,1560844
Toyota,2020,7031,152,2.4,Diesel,Automatic,2,1155088
Hyundai,2024,115668,260,2.2,Electric,Manual,2,1253282
Hyundai,2020,42414,293,2.2,Electric,Automatic,3,1227290
Mercedes,2021,7876,151,1.5,Petrol,Manual,1,1426208
Honda,2015,69571,140,2.7,Electric,Automatic,2,896864
Hyundai,2024,72737,241,2.8,Electric,Automatic,2,1339601
Tata,2016,69649,156,2.4,Petrol,Manual,4,769505
Hyundai,2019,21061,88,3.1,Electric,Manual,2,894452
Toyota,2020,12535,316,2.1,Diesel,Automatic,2,1382065
Tata,2016,78089,172,1.1,Electric,Automatic,2,757840
Honda,2019,50324,135,1.0,Diesel,Manual,1,946773
Honda,2015,17775,201,2.1,Petrol,Manual,2,942077
BMW,2019,101738,207,1.7,Petrol,Automatic,1,1207613
Hyundai,2021,43335,134,1.7,Petrol,Automatic,2,973930
Toyota,2023,86829,125,1.1,Petrol,Manual,1,1118791
Toyota,2015,112282,125,1.1,Petrol,Manual,3,677512
Mercedes,2015,70459,135,2.9,Diesel,Manual,1,1062873
BMW,2021,57649,119,2.7,Electric,Automatic,2,1320468
Honda,2020,57262,312,3.2,Diesel,Manual,2,1416537
Honda,2018,68039,271,2.3,Petrol,Manual,3,1191692
Ford,2023,13982,286,1.8,Petrol,Manual,1,1352969
Mercedes,2022,102202,249,2.6,Electric,Manual,1,1657266
Hyundai,2017,19493,266,2.5,Petrol,Manual,1,1074177
Toyota,2024,35473,80,1.0,Diesel,Automatic,3,1118840
Mercedes,2020,108189,101,2.2,Electric,Manual,3,1150281
Tata,2015,56425,222,1.6,Diesel,Automatic,4,779807
Tata,2015,73507,117,2.9,Petrol,Automatic,2,709399
Honda,2020,65404,175,2.5,Diesel,Automatic,4,1146078
BMW,2022,118092,115,2.1,Diesel,Automatic,1,1271784
Ford,2020,54221,177,1.2,Electric,Automatic,3,998970
Ford,2019,22178,166,1.4,Electric,Automatic,1,966793
Ford,2019,106199,256,2.9,Diesel,Manual,2,1160894
BMW,2021,89080,208,2.3,Electric,Manual,1,1416813
Mercedes,2023,104037,271,1.2,Petrol,Manual,2,1562071
Tata,2017,117610,317,2.6,Diesel,Automatic,4,1023347
Mercedes,2018,45030,226,2.3,Diesel,Manual,1,1353665
Mercedes,2020,58778,96,1.8,Petrol,Manual,2,1162982
Ford,2016,40396,244,1.7,Petrol,Automatic,3,894642
Honda,2019,91653,220,1.6,Electric,Manual,1,1085150
BMW,2020,11560,192,1.6,Petrol,Manual,1,1358294
BMW,2017,80039,241,1.2,Diesel,Manual,2,1138449
Ford,2022,39687,290,3.0,Petrol,Automatic,3,1338939
Hyundai,2020,13259,178,1.7,Petrol,Manual,3,951523
Tata,2023,90440,228,2.2,Diesel,Manual,1,1186190
Honda,2016,102972,169,2.6,Diesel,Automatic,2,900856
Tata,2019,17764,262,2.7,Petrol,Manual,3,1161017
Hyundai,2017,108054,254,1.6,Petrol,Manual,4,870804
Mercedes,2019,12069,187,1.5,Electric,Automatic,1,1371618
Tata,2020,66047,252,1.5,Petrol,Manual,1,1035971
Toyota,2023,5353,266,2.1,Petrol,Manual,2,1460497
BMW,2023,54974,166,1.3,Petrol,Manual,4,1381437
Tata,2024,21872,119,2.2,Electric,Manual,1,1168309
Honda,2018,18679,117,1.7,Electric,Automatic,3,985307
Hyundai,2019,65792,207,1.4,Electric,Automatic,1,908415
Tata,2018,58907,281,3.0,Petrol,Automatic,2,1085934
Hyundai,2018,11566,270,2.4,Petrol,Automatic,3,1147817
Tata,2017,111235,207,2.4,Diesel,Automatic,1,869942
Honda,2017,105985,94,2.0,Electric,Manual,2,817086
Honda,2019,50186,116,1.7,Electric,Manual,3,994662
Ford,2021,80696,223,2.0,Diesel,Automatic,3,1140933
Ford,2015,82980,316,1.1,Electric,Automatic,2,947461
Tata,2022,36941,318,2.2,Electric,Automatic,1,1360384
Ford,2022,47128,256,1.9,Electric,Automatic,3,1271553
Mercedes,2020,88386,297,1.9,Petrol,Automatic,2,1514383
Ford,2019,55605,142,1.2,Petrol,Manual,3,862269
Tata,2021,40078,84,1.7,Electric,Manual,1,876566
Tata,2022,33368,299,1.3,Electric,Automatic,2,1221704
Honda,2017,37326,241,3.0,Electric,Manual,4,1095086
BMW,2022,114586,219,1.6,Diesel,Manual,3,1408899
Tata,2024,64742,175,2.5,Diesel,Manual,3,1177801
Ford,2024,75176,167,3.1,Diesel,Automatic,4,1237121
Tata,2020,86035,197,2.4,Electric,Manual,4,982563
Honda,2024,111245,155,3.2,Electric,Manual,3,1341182
Honda,2022,17103,195,2.0,Electric,Manual,3,1305930
Mercedes,2018,34647,190,1.9,Diesel,Manual,1,1261393
Ford,2023,70662,120,1.0,Petrol,Manual,2,1055925
Tata,2017,20907,247,1.3,Electric,Manual,2,893277
Ford,2016,113778,116,1.9,Diesel,Automatic,4,735061
Hyundai,2021,13008,305,2.7,Petrol,Manual,2,1319727
Honda,2021,57048,106,2.8,Diesel,Manual,1,1141954
Ford,2017,62588,150,2.4,Electric,Manual,4,890340
Toyota,2015,83590,254,3.1,Petrol,Manual,2,1046703
BMW,2017,10913,168,1.8,Electric,Manual,4,1065003
Hyundai,2023,112695,179,1.7,Petrol,Automatic,3,1063334
Tata,2017,107698,144,2.9,Petrol,Automatic,1,836826
Ford,2020,37265,96,1.1,Petrol,Manual,1,883483
BMW,2015,9006,161,2.8,Diesel,Manual,1,1095191
Toyota,2023,35867,277,2.2,Diesel,Automatic,1,1480799
Toyota,2020,89846,221,2.7,Petrol,Manual,3,1186991
Tata,2019,40553,168,1.5,Diesel,Manual,3,915054
Tata,2022,14887,160,1.4,Petrol,Manual,4,1018083
Mercedes,2024,103176,112,2.4,Petrol,Manual,4,1407254
Ford,2024,117193,309,1.4,Electric,Automatic,1,1355827
Hyundai,2017,33970,256,2.2,Electric,Automatic,2,1081830
Tata,2019,8056,207,2.3,Petrol,Manual,2,1027628
Ford,2019,34735,261,2.8,Diesel,Automatic,1,1220132
Ford,2016,65020,118,2.2,Petrol,Automatic,3,781506
Ford,2015,6085,130,3.0,Electric,Automatic,4,826901
Honda,2015,59044,279,3.1,Diesel,Manual,1,1183260
BMW,2020,58348,126,2.5,Petrol,Manual,4,1167376
Toyota,2016,53614,205,1.3,Petrol,Automatic,4,868106
Ford,2018,33094,93,1.8,Diesel,Manual,4,792447
Mercedes,2023,107162,87,1.2,Electric,Automatic,1,1233014
BMW,2021,51842,109,2.9,Electric,Automatic,1,1360226
Tata,2016,119617,186,1.9,Petrol,Manual,2,747260
Toyota,2020,110312,273,1.4,Electric,Automatic,2,1198878
BMW,2023,50715,270,1.3,Diesel,Automatic,2,1614860
Hyundai,2016,96830,287,2.3,Diesel,Manual,3,990565
Ford,2023,77812,170,3.1,Electric,Automatic,2,1209078
Honda,2019,116469,216,2.0,Petrol,Automatic,2,1089626
BMW,2024,44759,96,1.2,Diesel,Manual,1,1376311
Hyundai,2018,104274,131,2.2,Electric,Automatic,3,821754
Honda,2024,111663,123,2.5,Diesel,Automatic,1,1320810
Tata,2018,16951,301,2.3,Electric,Manual,3,1143847
Toyota,2024,69706,99,2.6,Petrol,Manual,4,1147877
Honda,2019,57000,81,2.7,Electric,Manual,4,1014064
Hyundai,2023,69983,93,1.4,Petrol,Manual,4,906078
Honda,2020,32681,311,3.1,Electric,Automatic,4,1412476
Honda,2024,105986,219,1.2,Diesel,Manual,4,1303986
Honda,2020,78378,315,2.3,Electric,Manual,4,1325421
Ford,2016,18615,291,2.8,Electric,Manual,2,1115764
Tata,2023,12597,85,2.1,Diesel,Manual,2,1018167
Mercedes,2021,81858,107,2.4,Diesel,Manual,1,1324723
Hyundai,2020,112121,131,1.3,Diesel,Manual,2,843428
Ford,2020,113941,127,2.8,Diesel,Manual,4,964894
Mercedes,2021,118935,289,2.4,Diesel,Manual,1,1608384
BMW,2017,66479,168,3.1,Electric,Automatic,1,1202777
BMW,2018,65039,296,1.1,Petrol,Automatic,4,1284359
Tata,2015,100991,304,2.2,Petrol,Manual,4,871028
Mercedes,2018,96176,186,1.1,Petrol,Automatic,2,1114200
Ford,2020,37895,127,1.2,Electric,Automatic,4,943765
BMW,2023,19599,314,2.9,Diesel,Automatic,3,1830232
Toyota,2018,67752,173,3.0,Diesel,Manual,4,1074415
Tata,2019,57515,189,1.8,Petrol,Manual,1,983858
Ford,2022,13905,216,2.0,Electric,Manual,4,1238567
Toyota,2015,41250,117,1.5,Petrol,Automatic,4,719128
Honda,2021,112660,289,1.5,Electric,Automatic,1,1312965
Hyundai,2015,22066,126,2.3,Diesel,Automatic,2,773863
BMW,2022,28214,201,2.4,Electric,Automatic,4,1531219
Toyota,2018,17900,101,1.5,Diesel,Manual,3,883184
Hyundai,2018,93638,109,1.4,Diesel,Automatic,2,782561
Honda,2021,23640,184,1.5,Electric,Automatic,4,1174758
Honda,2022,26608,277,2.1,Petrol,Automatic,3,1420856
Hyundai,2019,36845,318,2.1,Diesel,Manual,4,1173862
Ford,2022,73190,137,2.4,Petrol,Automatic,1,1171495
Toyota,2019,61853,295,2.0,Electric,Manual,4,1216287
Tata,2022,94902,296,2.4,Diesel,Manual,4,1211939
Ford,2018,55022,239,2.5,Electric,Automatic,3,1083551
Ford,2021,98394,168,2.6,Diesel,Manual,2,1050442
Mercedes,2022,45212,111,1.4,Diesel,Automatic,1,1329094
Tata,2022,36347,215,3.1,Petrol,Automatic,1,1273326
Ford,2017,42727,207,2.9,Electric,Automatic,1,1023165
Mercedes,2022,46133,269,1.3,Diesel,Manual,2,1565217
Ford,2016,86314,212,2.6,Petrol,Manual,2,920971
BMW,2020,91018,106,2.0,Electric,Manual,4,1091444
Ford,2018,25893,122,2.0,Diesel,Manual,3,877943
Honda,2016,41092,124,1.3,Petrol,Manual,2,827482
Hyundai,2018,108591,136,2.7,Petrol,Automatic,2,873879
BMW,2015,104724,229,2.3,Electric,Manual,4,1036901
BMW,2022,46261,190,1.2,Electric,Manual,3,1383042
BMW,2019,51846,188,2.2,Diesel,Automatic,4,1306356
Mercedes,2017,27629,270,2.9,Electric,Automatic,3,1426852
Hyundai,2016,41150,110,1.6,Diesel,Automatic,3,718628
BMW,2018,119373,213,1.7,Petrol,Manual,1,1147733
Honda,2021,114168,263,2.8,Diesel,Manual,3,1304837
Tata,2016,30949,274,1.6,Electric,Automatic,4,899602
Toyota,2024,98664,180,1.6,Petrol,Manual,4,1231182
Toyota,2019,118390,183,1.6,Electric,Automatic,3,1000080
Tata,2022,101039,281,1.0,Petrol,Automatic,3,1058547
Hyundai,2015,29016,129,2.1,Electric,Automatic,4,732913
Toyota,2018,90913,117,1.4,Diesel,Manual,1,859457
BMW,2019,90221,286,2.4,Electric,Automatic,1,1479025
Hyundai,2021,51385,138,1.5,Electric,Automatic,3,984326
Hyundai,2015,52615,192,1.4,Petrol,Manual,2,778936
BMW,2016,96546,130,2.8,Electric,Automatic,2,1017651
Toyota,2017,36698,112,3.1,Diesel,Manual,4,887490
Honda,2021,50907,141,1.4,Petrol,Automatic,3,1106652
